station,Phasenet_pick_time,EQTransformer_pick_time,Phasenet_pick_score,QTransformer_pick_score
BNGB,15:11:09.200,15:11:09.270,0.4471221,0.64
BNGB,15:20:25.380,15:20:25.380,0.97452426,0.62
BNGB,15:32:37.320,15:32:37.000,0.4755492,0.87
BNGB,15:33:53.500,15:33:53.450,0.91804934,0.82
BNGB,15:56:54.150,15:56:54.250,0.46328762,0.77
BNGB,15:59:21.170,15:59:21.190,0.6050349,0.6
BNGB,16:02:09.680,16:02:09.730,0.34225947,0.56
BNGB,16:03:21.620,16:03:21.560,0.9551796,0.95
BNGB,16:11:10.890,16:11:10.980,0.56128144,0.77
BNGB,16:15:44.060,16:15:44.030,0.5412658,0.41
BNGB,16:20:06.670,16:20:06.620,0.94010943,0.63
BNGB,16:23:11.510,16:23:11.550,0.9403146,0.74
BNGB,16:25:24.060,16:25:24.040,0.9831287,0.86
BNGB,16:27:51.200,16:27:51.240,0.47361034,0.74
BNGB,16:39:54.710,16:39:54.710,0.43820658,0.55
BNGB,16:41:20.420,16:41:20.280,0.46111974,0.63
BNGB,16:50:52.710,16:50:52.250,0.3178037,0.34
BNGB,16:53:49.960,16:53:50.180,0.43462837,0.64
BNGB,16:58:15.710,16:58:15.720,0.9460133,0.9
BNGB,17:00:08.720,17:00:08.330,0.43359554,0.12
BNGB,17:00:08.720,17:00:08.710,0.43359554,0.9
BNGB,17:05:19.250,17:05:19.270,0.98332906,0.78
BNGB,17:17:58.790,17:17:58.750,0.6517413,0.26
BNGB,17:27:19.820,17:27:18.990,0.35208356,0.27
BNGB,17:30:16.990,17:30:16.930,0.28764948,0.77
BNGB,17:36:38.050,17:36:38.140,0.9372721,0.65
BNGB,17:37:50.190,17:37:50.280,0.32159385,0.9
BNGB,17:40:36.060,17:40:36.030,0.9672108,0.52
BNGB,17:55:15.020,17:55:15.000,0.52644163,0.88
BNGB,17:57:16.640,17:57:16.710,0.9008275,0.83
BNGB,19:00:34.540,19:00:34.990,0.3065357,0.72
BNGB,19:19:37.920,19:19:37.920,0.9700154,0.73
BNGB,19:27:07.760,19:27:07.750,0.9760721,0.74
BNGB,19:33:14.200,19:33:14.250,0.85711426,0.74
BNGB,19:49:07.780,19:49:07.700,0.48433137,0.62
BNGB,19:50:27.480,19:50:27.500,0.7825303,0.78
BNGB,19:51:24.840,19:51:25.070,0.95123184,0.73
BNGB,19:55:34.980,19:55:34.840,0.86941254,0.89
BNGB,19:58:50.470,19:58:50.610,0.8470743,0.55
BNGB,20:00:35.730,20:00:35.720,0.8019185,0.87
BNGB,20:15:51.230,20:15:51.140,0.7644323,0.35
BNGB,20:18:18.920,20:18:18.910,0.9713527,0.72
BNGB,20:21:56.630,20:21:56.510,0.37799174,0.49
BNGB,20:26:44.470,20:26:44.360,0.79002535,0.61
BNGB,20:29:24.080,20:29:24.080,0.94126844,0.8
BNGB,20:30:39.990,20:30:40.000,0.56113124,0.95
BNGB,21:04:09.090,21:04:09.040,0.48236492,0.68
BNGB,21:05:18.300,21:05:18.340,0.97520494,0.74
BNGB,21:25:19.130,21:25:19.010,0.45646268,0.85
BNGB,21:27:31.490,21:27:31.470,0.7305468,0.83
BNGB,21:30:50.390,21:30:50.440,0.95135224,0.8
BNGB,21:33:12.190,21:33:12.250,0.7287019,0.85
BNGB,21:34:52.640,21:34:52.640,0.5204326,0.73
BNGB,21:49:35.330,21:49:35.290,0.93044394,0.88
BNGB,21:50:24.900,21:50:25.000,0.4225282,0.92
BNGB,21:52:19.930,21:52:20.190,0.35579148,0.26
BNGB,22:08:39.900,22:08:39.990,0.3713336,0.87
BNGB,22:11:32.170,22:11:32.240,0.7126532,0.76
BNGB,22:16:03.740,22:16:03.720,0.98426545,0.91
BNGB,22:21:48.920,22:21:49.000,0.99208176,0.93
BNN ,01:18:53.910,01:18:53.810,0.36571598,0.17
BNN ,03:05:22.730,03:05:22.830,0.27127725,0.22
BNN ,03:43:04.220,03:43:04.000,0.28655785,0.94
BNN ,03:53:25.030,03:53:25.000,0.28785843,0.7
BNN ,04:06:33.510,04:06:33.000,0.2868758,0.54
BNN ,04:19:24.420,04:19:25.000,0.33170342,0.84
BNN ,05:07:07.450,05:07:07.000,0.31142354,0.86
BNN ,05:09:07.600,05:09:08.000,0.6341572,0.64
BNN ,05:20:24.460,05:20:25.000,0.30717534,0.85
BNN ,05:31:59.400,05:31:59.590,0.5014562,0.5
BNN ,06:15:09.060,06:15:08.860,0.37773862,0.18
BNN ,06:24:08.160,06:24:08.220,0.28490442,0.11
BNN ,06:37:20.180,06:37:20.010,0.322436,0.6
BNN ,06:55:28.440,06:55:28.000,0.37414753,0.84
BNN ,07:17:24.320,07:17:24.350,0.48972854,0.69
BNN ,07:21:37.090,07:21:37.150,0.2780124,0.19
BNN ,07:40:19.620,07:40:19.000,0.30883536,0.81
BNN ,08:26:22.290,08:26:22.000,0.5016915,0.51
BNN ,08:33:05.570,08:33:05.000,0.30411294,0.46
BNN ,08:45:19.900,08:45:19.000,0.42384306,0.57
BNN ,08:53:08.010,08:53:08.000,0.5940249,0.83
BNN ,08:59:11.720,08:59:11.010,0.6843374,0.68
BNN ,09:24:19.300,09:24:19.000,0.32412487,0.88
BNN ,09:31:06.010,09:31:06.000,0.75255704,0.94
BNN ,09:32:23.700,09:32:23.740,0.41517603,0.6
BNN ,09:51:07.370,09:51:07.000,0.30699596,0.89
BNN ,10:16:50.510,10:16:50.280,0.38717303,0.84
BNN ,11:35:55.750,11:35:56.000,0.2840079,0.64
BNN ,11:56:17.250,11:56:17.000,0.3101198,0.92
BNN ,12:21:35.600,12:21:35.010,0.34706748,0.79
BNN ,13:29:20.850,13:29:21.000,0.4305532,0.92
BNN ,13:42:52.360,13:42:52.000,0.35819033,0.93
BNN ,13:58:07.160,13:58:07.000,0.3855841,0.94
BNN ,13:59:08.010,13:59:08.370,0.47054243,0.21
BNN ,14:15:22.910,14:15:23.000,0.4044371,0.89
