station,Phasenet-EQCCT_Average_pick_time,EQTransformer_pick_time,EQTransformer_pick_score,Phasenet_score,EQCCT_score
GAZ ,09:01:51.470,09:01:51.195,0.37,0.35527924,0.409
GAZ ,09:01:51.470,09:01:51.195,0.37,0.35527924,0.381
GAZ ,09:01:51.470,09:01:51.275,0.37,0.35527924,0.409
GAZ ,09:01:51.470,09:01:51.290,0.37,0.35527924,0.288
GAZ ,09:01:51.470,09:01:51.625,0.37,0.35527924,0.617
GAZ ,09:03:37.000,09:03:37.145,0.86,0.466205,0.521
GAZ ,09:03:37.000,09:03:37.150,0.86,0.466205,0.55
GAZ ,09:03:37.000,09:03:37.170,0.86,0.466205,0.477
GAZ ,09:05:24.000,09:05:23.920,0.51,0.64608973,0.628
GAZ ,09:05:24.000,09:05:23.920,0.51,0.64608973,0.669
GAZ ,09:05:24.000,09:05:23.940,0.51,0.64608973,0.67
GAZ ,09:05:24.000,09:05:23.980,0.51,0.64608973,0.205
GAZ ,09:05:58.470,09:05:58.525,0.48,0.52563375,0.566
GAZ ,09:05:58.470,09:05:58.525,0.48,0.52563375,0.673
GAZ ,09:05:58.470,09:05:58.535,0.48,0.52563375,0.687
GAZ ,09:08:21.720,09:08:21.700,0.5,0.43887025,0.602
GAZ ,09:08:21.720,09:08:21.700,0.5,0.43887025,0.651
GAZ ,09:08:21.720,09:08:21.710,0.5,0.43887025,0.739
GAZ ,09:10:23.000,09:10:23.430,0.72,0.49694592,0.623
GAZ ,09:10:23.000,09:10:23.440,0.72,0.49694592,0.689
GAZ ,09:10:23.000,09:10:23.440,0.72,0.49694592,0.7
GAZ ,09:10:23.000,09:10:23.440,0.72,0.49694592,0.71
GAZ ,09:11:49.890,09:11:49.740,0.48,0.9366936,0.675
GAZ ,09:11:49.890,09:11:49.770,0.48,0.9366936,0.123
GAZ ,09:11:49.890,09:11:49.770,0.48,0.9366936,0.654
GAZ ,09:11:49.890,09:11:49.780,0.48,0.9366936,0.643
GAZ ,09:11:49.890,09:11:49.870,0.48,0.9366936,0.139
GAZ ,09:16:24.320,09:16:24.325,0.83,0.964856,0.841
GAZ ,09:16:24.320,09:16:24.325,0.83,0.964856,0.831
GAZ ,09:16:24.320,09:16:24.325,0.83,0.964856,0.82
GAZ ,09:21:13.000,09:21:12.910,0.91,0.50925165,0.797
GAZ ,09:21:13.000,09:21:12.910,0.91,0.50925165,0.836
GAZ ,09:21:13.000,09:21:12.920,0.91,0.50925165,0.835
GAZ ,09:21:13.000,09:21:12.920,0.91,0.50925165,0.832
GAZ ,09:25:41.720,09:25:41.925,0.77,0.4553473,0.617
GAZ ,09:25:41.720,09:25:41.925,0.77,0.4553473,0.467
GAZ ,09:25:41.720,09:25:41.940,0.77,0.4553473,0.509
GAZ ,09:25:41.720,09:25:41.950,0.77,0.4553473,0.88
GAZ ,09:29:51.430,09:29:51.350,0.27,0.29870683,0.511
GAZ ,09:29:51.430,09:29:51.370,0.27,0.29870683,0.574
GAZ ,09:30:27.080,09:30:27.025,0.37,0.74340034,0.605
GAZ ,09:30:27.080,09:30:27.035,0.37,0.74340034,0.696
GAZ ,09:30:27.080,09:30:27.045,0.37,0.74340034,0.515
GAZ ,09:30:27.080,09:30:27.045,0.37,0.74340034,0.706
GAZ ,09:30:27.080,09:30:27.045,0.37,0.74340034,0.695
GAZ ,09:31:38.010,09:31:38.305,0.69,0.40656283,0.295
GAZ ,09:31:38.010,09:31:38.305,0.69,0.40656283,0.5
GAZ ,09:31:38.010,09:31:38.330,0.69,0.40656283,0.275
GAZ ,09:34:04.000,09:34:04.065,0.92,0.295577,0.66
GAZ ,09:35:36.110,09:35:36.450,0.35,0.45148575,0.468
GAZ ,09:35:36.110,09:35:36.455,0.35,0.45148575,0.535
GAZ ,09:35:36.110,09:35:36.480,0.35,0.45148575,0.277
GAZ ,09:36:22.000,09:36:21.995,0.94,0.946771,0.663
GAZ ,09:36:22.000,09:36:22.015,0.94,0.946771,0.399
GAZ ,09:36:22.000,09:36:22.020,0.94,0.946771,0.959
GAZ ,09:36:22.000,09:36:22.025,0.94,0.946771,0.637
GAZ ,09:38:20.000,09:38:20.205,0.7,0.47551736,0.787
GAZ ,09:38:20.000,09:38:20.420,0.7,0.47551736,0.547
GAZ ,09:38:20.000,09:38:20.420,0.7,0.47551736,0.783
GAZ ,09:38:20.000,09:38:20.425,0.7,0.47551736,0.471
GAZ ,09:41:07.680,09:41:07.660,0.52,0.29313716,0.455
GAZ ,09:42:06.600,09:42:06.635,0.66,0.8486326,0.682
GAZ ,09:42:06.600,09:42:06.645,0.66,0.8486326,0.663
GAZ ,09:42:06.600,09:42:06.645,0.66,0.8486326,0.667
GAZ ,09:42:51.530,09:42:51.350,0.51,0.38307622,0.143
GAZ ,09:45:22.230,09:45:22.295,0.42,0.49351105,0.413
GAZ ,09:45:22.230,09:45:22.295,0.42,0.49351105,0.733
GAZ ,09:45:22.230,09:45:22.295,0.42,0.49351105,0.683
GAZ ,09:45:22.230,09:45:22.295,0.42,0.49351105,0.697
GAZ ,09:46:41.800,09:46:41.870,0.56,0.5685817,0.52
GAZ ,09:46:41.800,09:46:41.870,0.56,0.5685817,0.531
GAZ ,09:46:41.800,09:46:41.870,0.56,0.5685817,0.706
GAZ ,09:46:41.800,09:46:41.880,0.56,0.5685817,0.104
GAZ ,09:46:41.800,09:46:41.880,0.56,0.5685817,0.847
GAZ ,09:47:45.280,09:47:45.195,0.8,0.9777207,0.555
GAZ ,09:47:45.280,09:47:45.225,0.8,0.9777207,0.816
GAZ ,09:47:45.280,09:47:45.225,0.8,0.9777207,0.796
GAZ ,09:47:45.280,09:47:45.230,0.8,0.9777207,0.786
GAZ ,09:49:09.610,09:49:09.595,0.81,0.50199825,0.802
GAZ ,09:49:09.610,09:49:09.600,0.81,0.50199825,0.319
GAZ ,09:49:09.610,09:49:09.635,0.81,0.50199825,0.338
GAZ ,09:52:49.990,09:52:49.975,0.76,0.89192414,0.793
GAZ ,09:52:49.990,09:52:49.975,0.76,0.89192414,0.813
GAZ ,09:52:49.990,09:52:49.975,0.76,0.89192414,0.889
GAZ ,09:52:49.990,09:52:49.980,0.76,0.89192414,0.659
GAZ ,09:52:49.990,09:52:49.980,0.76,0.89192414,0.906
GAZ ,09:54:26.280,09:54:26.100,0.68,0.47611365,0.835
GAZ ,09:54:26.280,09:54:26.165,0.68,0.47611365,0.51
GAZ ,09:54:26.280,09:54:26.185,0.68,0.47611365,0.679
GAZ ,09:54:26.280,09:54:26.215,0.68,0.47611365,0.712
GAZ ,09:55:22.000,09:55:22.350,0.72,0.29195273,0.264
GAZ ,09:55:22.000,09:55:22.395,0.72,0.29195273,0.183
GAZ ,09:58:36.570,09:58:36.655,0.6,0.43130872,0.544
GAZ ,09:58:36.570,09:58:36.685,0.6,0.43130872,0.559
GAZ ,09:58:36.570,09:58:36.700,0.6,0.43130872,0.261
GAZ ,09:58:36.570,09:58:36.715,0.6,0.43130872,0.408
GULA,09:02:18.510,09:02:18.195,0.38,0.35963175,0.875
GULA,09:02:18.510,09:02:18.460,0.38,0.35963175,0.412
GULA,09:02:18.510,09:02:18.460,0.38,0.35963175,0.455
GULA,13:21:51.000,13:21:51.420,0.73,0.3133345,0.239
GULA,13:21:51.000,13:21:51.635,0.73,0.3133345,0.473
GULA,13:21:51.000,13:21:51.635,0.73,0.3133345,0.526
GULA,13:21:51.000,13:21:51.820,0.73,0.3133345,0.329
GULA,13:56:52.290,13:56:52.350,0.32,0.34613982,0.252
GULA,13:56:52.290,13:56:52.680,0.32,0.34613982,0.279
GULA,13:56:52.290,13:56:52.680,0.32,0.34613982,0.295
GULA,13:59:23.000,13:59:23.710,0.86,0.29957592,0.673
GULA,13:59:23.000,13:59:23.720,0.86,0.29957592,0.345
KARO,03:08:56.880,03:08:56.865,0.81,0.9831028,0.81
KARO,03:08:56.880,03:08:56.865,0.81,0.9831028,0.901
KARO,03:08:56.880,03:08:56.865,0.81,0.9831028,0.892
KARO,03:08:56.880,03:08:56.865,0.81,0.9831028,0.897
KARO,03:09:43.000,03:09:43.025,0.89,0.988523,0.915
KARO,03:09:43.000,03:09:43.040,0.89,0.988523,0.872
KARO,03:09:43.000,03:09:43.045,0.89,0.988523,0.885
KARO,03:09:43.000,03:09:43.050,0.89,0.988523,0.883
KARO,03:09:43.000,03:09:43.050,0.89,0.988523,0.883
KARO,03:10:53.000,03:10:52.990,0.96,0.90915525,0.667
KARO,03:10:53.000,03:10:52.990,0.96,0.90915525,0.962
KARO,03:10:53.000,03:10:52.995,0.96,0.90915525,0.903
KARO,03:10:53.000,03:10:53.005,0.96,0.90915525,0.886
KARO,03:10:53.000,03:10:53.005,0.96,0.90915525,0.883
KARO,03:11:27.710,03:11:27.710,0.73,0.3172839,0.647
KARO,03:11:27.710,03:11:27.720,0.73,0.3172839,0.375
KARO,03:11:27.710,03:11:27.720,0.73,0.3172839,0.765
KARO,03:12:40.070,03:12:40.030,0.76,0.97354126,0.897
KARO,03:12:40.070,03:12:40.045,0.76,0.97354126,0.903
KARO,03:12:40.070,03:12:40.045,0.76,0.97354126,0.913
KARO,03:12:40.070,03:12:40.045,0.76,0.97354126,0.91
KARO,03:12:40.070,03:12:40.045,0.76,0.97354126,0.909
KARO,03:17:39.970,03:17:39.910,0.85,0.9400629,0.784
KARO,03:17:39.970,03:17:39.915,0.85,0.9400629,0.858
KARO,03:17:39.970,03:17:39.915,0.85,0.9400629,0.848
KARO,03:17:39.970,03:17:39.915,0.85,0.9400629,0.84
KARO,03:17:39.970,03:17:39.925,0.85,0.9400629,0.829
KARO,03:18:47.000,03:18:46.955,0.96,0.98702556,0.146
KARO,03:18:47.000,03:18:46.955,0.96,0.98702556,0.866
KARO,03:18:47.000,03:18:46.955,0.96,0.98702556,0.849
KARO,03:18:47.000,03:18:46.965,0.96,0.98702556,0.859
KARO,03:18:47.000,03:18:46.970,0.96,0.98702556,0.861
KARO,03:20:37.110,03:20:37.075,0.81,0.54251933,0.608
KARO,03:20:37.110,03:20:37.075,0.81,0.54251933,0.432
KARO,03:20:37.110,03:20:37.075,0.81,0.54251933,0.786
KARO,03:20:37.110,03:20:37.075,0.81,0.54251933,0.813
KARO,03:20:37.110,03:20:37.085,0.81,0.54251933,0.542
KARO,03:33:36.370,03:33:36.355,0.56,0.97802764,0.635
KARO,03:33:36.370,03:33:36.360,0.56,0.97802764,0.847
KARO,03:33:36.370,03:33:36.360,0.56,0.97802764,0.86
KARO,03:33:36.370,03:33:36.360,0.56,0.97802764,0.86
KARO,03:33:36.370,03:33:36.375,0.56,0.97802764,0.86
KARO,03:40:16.010,03:40:15.585,0.69,0.4050621,0.112
KARO,03:40:16.010,03:40:15.610,0.69,0.4050621,0.351
KARO,03:40:16.010,03:40:15.610,0.69,0.4050621,0.32
KARO,03:40:16.010,03:40:15.630,0.69,0.4050621,0.463
KARO,03:42:01.220,03:42:01.205,0.82,0.99190825,0.919
KARO,03:42:01.220,03:42:01.205,0.82,0.99190825,0.918
KARO,03:42:01.220,03:42:01.205,0.82,0.99190825,0.926
KARO,03:42:01.220,03:42:01.205,0.82,0.99190825,0.916
KARO,03:42:01.220,03:42:01.210,0.82,0.99190825,0.779
KARO,03:45:29.470,03:45:29.420,0.82,0.42033544,0.791
KARO,03:45:29.470,03:45:29.420,0.82,0.42033544,0.851
KARO,03:45:29.470,03:45:29.420,0.82,0.42033544,0.463
KARO,03:45:29.470,03:45:29.420,0.82,0.42033544,0.824
KARO,03:54:23.990,03:54:23.920,0.86,0.5041532,0.834
KARO,03:54:23.990,03:54:23.925,0.86,0.5041532,0.737
KARO,03:54:23.990,03:54:23.925,0.86,0.5041532,0.842
KARO,03:54:23.990,03:54:23.930,0.86,0.5041532,0.788
KARO,03:56:23.740,03:56:23.900,0.55,0.40364546,0.544
KARO,03:56:23.740,03:56:23.900,0.55,0.40364546,0.557
KARO,03:56:23.740,03:56:23.930,0.55,0.40364546,0.566
KARO,03:57:41.720,03:57:41.720,0.91,0.93457264,0.894
KARO,03:57:41.720,03:57:41.720,0.91,0.93457264,0.882
KARO,03:57:41.720,03:57:41.720,0.91,0.93457264,0.88
KARO,03:57:41.720,03:57:41.720,0.91,0.93457264,0.882
KARO,03:57:41.720,03:57:41.720,0.91,0.93457264,0.849
KARO,09:03:19.830,09:03:19.805,0.88,0.48255154,0.359
KARO,09:03:19.830,09:03:19.810,0.88,0.48255154,0.705
KARO,09:03:19.830,09:03:19.825,0.88,0.48255154,0.879
KARO,09:21:26.170,09:21:26.075,0.6,0.42615244,0.572
KARO,09:21:26.170,09:21:26.115,0.6,0.42615244,0.655
KARO,09:21:26.170,09:21:26.115,0.6,0.42615244,0.547
KARO,09:21:26.170,09:21:26.115,0.6,0.42615244,0.548
KARO,09:30:21.000,09:30:20.150,0.42,0.3980786,0.273
KARO,09:30:21.000,09:30:20.365,0.42,0.3980786,0.223
KARO,09:35:11.010,09:35:11.100,0.89,0.98919594,0.902
KARO,09:35:11.010,09:35:11.100,0.89,0.98919594,0.9
KARO,09:35:11.010,09:35:11.100,0.89,0.98919594,0.905
KARO,09:35:11.010,09:35:11.100,0.89,0.98919594,0.893
KARO,09:52:25.400,09:52:25.390,0.94,0.49544504,0.41
KARO,09:52:25.400,09:52:25.395,0.94,0.49544504,0.441
KARO,09:52:25.400,09:52:25.395,0.94,0.49544504,0.912
KARO,09:52:25.400,09:52:25.395,0.94,0.49544504,0.586
KARS,00:16:20.540,00:16:20.245,0.87,0.7520437,0.871
KARS,00:16:20.540,00:16:20.265,0.87,0.7520437,0.229
KARS,00:16:20.540,00:16:20.495,0.87,0.7520437,0.463
KARS,00:16:20.540,00:16:20.495,0.87,0.7520437,0.332
KMRS,09:01:53.630,09:01:53.680,0.69,0.3004953,0.238
KMRS,09:01:53.630,09:01:53.690,0.69,0.3004953,0.339
KMRS,09:01:53.630,09:01:53.690,0.69,0.3004953,0.384
KMRS,09:01:53.630,09:01:53.745,0.69,0.3004953,0.772
KMRS,09:03:36.580,09:03:36.570,0.69,0.38078326,0.51
KMRS,09:03:36.580,09:03:36.580,0.69,0.38078326,0.222
KMRS,09:03:36.580,09:03:36.630,0.69,0.38078326,0.294
KMRS,09:04:38.710,09:04:38.555,0.87,0.67395115,0.575
KMRS,09:04:38.710,09:04:38.570,0.87,0.67395115,0.541
KMRS,09:04:38.710,09:04:38.605,0.87,0.67395115,0.479
KMRS,09:05:22.280,09:05:22.335,0.78,0.9466835,0.801
KMRS,09:05:22.280,09:05:22.335,0.78,0.9466835,0.888
KMRS,09:05:22.280,09:05:22.335,0.78,0.9466835,0.88
KMRS,09:05:22.280,09:05:22.335,0.78,0.9466835,0.881
KMRS,09:05:55.230,09:05:55.300,0.78,0.93186605,0.672
KMRS,09:05:55.230,09:05:55.300,0.78,0.93186605,0.728
KMRS,09:05:55.230,09:05:55.305,0.78,0.93186605,0.725
KMRS,09:07:46.000,09:07:46.380,0.8,0.3154556,0.472
KMRS,09:07:46.000,09:07:46.400,0.8,0.3154556,0.172
KMRS,09:07:46.000,09:07:46.400,0.8,0.3154556,0.206
KMRS,09:07:46.000,09:07:46.400,0.8,0.3154556,0.149
KMRS,09:10:22.060,09:10:22.025,0.7,0.9897337,0.886
KMRS,09:10:22.060,09:10:22.035,0.7,0.9897337,0.863
KMRS,09:10:22.060,09:10:22.035,0.7,0.9897337,0.867
KMRS,09:10:22.060,09:10:22.035,0.7,0.9897337,0.877
KMRS,09:11:47.320,09:11:47.170,0.41,0.9188046,0.755
KMRS,09:11:47.320,09:11:47.185,0.41,0.9188046,0.809
KMRS,09:11:47.320,09:11:47.185,0.41,0.9188046,0.82
KMRS,09:11:47.320,09:11:47.190,0.41,0.9188046,0.833
KMRS,09:12:33.300,09:12:33.325,0.74,0.93858016,0.749
KMRS,09:12:33.300,09:12:33.330,0.74,0.93858016,0.789
KMRS,09:12:33.300,09:12:33.330,0.74,0.93858016,0.769
KMRS,09:12:33.300,09:12:33.345,0.74,0.93858016,0.745
KMRS,09:14:23.720,09:14:23.795,0.88,0.48247224,0.663
KMRS,09:14:23.720,09:14:23.795,0.88,0.48247224,0.759
KMRS,09:14:23.720,09:14:23.795,0.88,0.48247224,0.73
KMRS,09:15:19.270,09:15:19.280,0.66,0.51522547,0.279
KMRS,09:15:19.270,09:15:19.295,0.66,0.51522547,0.473
KMRS,09:15:19.270,09:15:19.295,0.66,0.51522547,0.68
KMRS,09:16:23.480,09:16:23.455,0.77,0.49470314,0.825
KMRS,09:16:23.480,09:16:23.455,0.77,0.49470314,0.814
