station,EQCCT-EQTransformer_Average_pick_time,Kandilli_pick_time,EQCCT_score,EQTransformer_score
GULA,09:24:23.400,09:24:23.400,0.138,0.14
GULA,09:24:23.400,09:24:23.630,0.171,0.14
GULA,09:24:23.400,09:24:23.630,0.684,0.14
GULA,09:31:15.200,09:31:14.935,0.251,0.89
GULA,09:31:15.200,09:31:14.935,0.216,0.89
GULA,09:31:15.200,09:31:14.965,0.456,0.89
GULA,09:36:56.200,09:36:55.500,0.57,0.16
GULA,13:59:23.600,13:59:23.355,0.673,0.86
GULA,13:59:23.600,13:59:23.365,0.345,0.86
GULA,14:00:36.400,14:00:36.810,0.239,0.14
GULA,14:30:30.200,14:30:29.970,0.438,0.76
GULA,14:30:30.200,14:30:30.000,0.792,0.76
GULA,14:30:30.200,14:30:30.380,0.43,0.76
GULA,14:30:30.200,14:30:30.400,0.556,0.76
GULA,16:44:01.100,16:44:01.290,0.293,0.83
GULA,16:44:01.100,16:44:01.365,0.148,0.83
KAMT,09:31:24.200,09:31:24.060,0.807,0.68
KAMT,09:31:24.200,09:31:24.205,0.277,0.68
KAMT,09:31:24.200,09:31:24.205,0.409,0.68
KAMT,09:32:42.400,09:32:42.000,0.837,0.63
KAMT,09:32:42.400,09:32:42.035,0.512,0.63
KAMT,09:32:42.400,09:32:42.055,0.563,0.63
KARO,03:18:46.900,03:18:46.985,0.146,0.96
KARO,03:18:46.900,03:18:46.985,0.866,0.96
KARO,03:18:46.900,03:18:46.985,0.849,0.96
KARO,03:18:46.900,03:18:46.995,0.859,0.96
KARO,03:18:46.900,03:18:47.000,0.861,0.96
KARO,03:33:36.400,03:33:36.360,0.635,0.56
KARO,03:33:36.400,03:33:36.365,0.847,0.56
KARO,03:33:36.400,03:33:36.365,0.86,0.56
KARO,03:33:36.400,03:33:36.365,0.86,0.56
KARO,03:33:36.400,03:33:36.380,0.86,0.56
KMRS,09:01:53.700,09:01:53.750,0.238,0.69
KMRS,09:01:53.700,09:01:53.760,0.339,0.69
KMRS,09:01:53.700,09:01:53.760,0.384,0.69
KMRS,09:01:53.700,09:01:53.815,0.772,0.69
KMRS,09:11:47.500,09:11:47.240,0.755,0.41
KMRS,09:11:47.500,09:11:47.255,0.809,0.41
KMRS,09:11:47.500,09:11:47.255,0.82,0.41
KMRS,09:11:47.500,09:11:47.260,0.833,0.41
KMRS,09:12:33.200,09:12:33.315,0.749,0.74
KMRS,09:12:33.200,09:12:33.320,0.789,0.74
KMRS,09:12:33.200,09:12:33.320,0.769,0.74
KMRS,09:12:33.200,09:12:33.335,0.745,0.74
KOZT,09:05:34.800,09:05:34.005,0.932,0.68
KOZT,09:05:34.800,09:05:34.070,0.378,0.68
KOZT,09:05:34.800,09:05:34.075,0.36,0.68
KOZT,09:06:10.600,09:06:11.435,0.272,0.12
KOZT,09:06:10.600,09:06:11.440,0.281,0.12
KOZT,09:06:10.600,09:06:11.555,0.171,0.12
KOZT,09:10:35.800,09:10:35.735,0.296,0.78
KOZT,09:10:35.800,09:10:35.745,0.345,0.78
KOZT,09:10:35.800,09:10:35.765,0.397,0.78
KOZT,09:11:59.400,09:11:59.500,0.589,0.52
KOZT,09:11:59.400,09:11:59.650,0.244,0.52
KOZT,09:11:59.400,09:11:59.715,0.606,0.52
KOZT,09:11:59.400,09:11:59.730,0.405,0.52
KOZT,09:23:59.300,09:23:58.500,0.774,0.71
KOZT,09:34:37.700,09:34:37.070,0.581,0.95
KOZT,09:34:37.700,09:34:37.080,0.507,0.95
KOZT,09:34:37.700,09:34:37.105,0.446,0.95
KOZT,09:36:32.000,09:36:32.250,0.253,0.42
KOZT,09:36:32.000,09:36:32.500,0.425,0.42
KOZT,09:36:32.000,09:36:32.500,0.38,0.42
KOZT,09:36:32.000,09:36:32.655,0.688,0.42
KOZT,09:58:43.400,09:58:42.500,0.818,0.66
KOZT,09:58:43.400,09:58:42.520,0.293,0.66
KOZT,09:58:43.400,09:58:42.520,0.285,0.66
KOZT,09:58:43.400,09:58:43.425,0.247,0.66
MDUB,09:53:13.900,09:53:13.790,0.862,0.84
MDUB,09:53:13.900,09:53:13.790,0.853,0.84
MDUB,09:53:13.900,09:53:13.790,0.838,0.84
MDUB,09:53:13.900,09:53:13.790,0.837,0.84
MDUB,09:53:13.900,09:53:13.790,0.715,0.84
MERS,09:04:00.300,09:04:00.740,0.543,0.41
MERS,09:04:00.300,09:04:00.760,0.508,0.41
MERS,09:04:00.300,09:04:00.785,0.263,0.41
MERS,09:05:52.000,09:05:52.000,0.832,0.83
MERS,09:05:52.000,09:05:52.020,0.158,0.83
MERS,09:05:52.000,09:05:52.020,0.258,0.83
SARI,09:03:53.700,09:03:53.500,0.56,0.86
SARI,09:05:41.100,09:05:40.260,0.19,0.75
SARI,09:05:41.100,09:05:40.280,0.297,0.75
SARI,09:05:41.100,09:05:40.280,0.366,0.75
SARI,09:10:41.200,09:10:40.500,0.489,0.7
SARI,09:10:41.200,09:10:40.645,0.196,0.7
SARI,09:10:41.200,09:10:40.645,0.182,0.7
SARI,09:12:05.800,09:12:04.965,0.471,0.92
SARI,09:12:05.800,09:12:04.985,0.494,0.92
SARI,09:12:05.800,09:12:05.000,0.952,0.92
SARI,09:12:05.800,09:12:05.000,0.653,0.92
SARI,09:21:29.000,09:21:29.000,0.495,0.69
