station,Phasenet_pick_time,EQCCT_pick_time,Phasenet_pick_score,EQCCT_pick_score
CLDR,09:36:09.040,09:36:09.090,0.2818343,0.675
CLDR,09:36:09.040,09:36:09.100,0.2818343,0.677
CLDR,09:36:09.040,09:36:09.130,0.2818343,0.672
CLDR,09:36:09.040,09:36:09.130,0.2818343,0.681
CLDR,09:53:48.520,09:53:48.530,0.9613352,0.806
CLDR,09:53:48.520,09:53:48.530,0.9613352,0.799
CLDR,09:53:48.520,09:53:48.530,0.9613352,0.831
CLDR,09:53:48.520,09:53:48.530,0.9613352,0.823
CORM,14:25:49.840,14:25:49.910,0.27236658,0.224
CORM,14:25:49.840,14:25:49.910,0.27236658,0.367
DARE,09:09:37.550,09:09:37.630,0.3273939,0.18
DARE,09:12:08.480,09:12:08.000,0.5918102,0.821
DARE,09:12:08.480,09:12:08.290,0.5918102,0.194
DARE,09:12:08.480,09:12:08.630,0.5918102,0.438
DARE,09:12:52.840,09:12:52.750,0.28848702,0.189
DARE,09:12:52.840,09:12:52.830,0.28848702,0.282
DARE,09:12:52.840,09:12:53.000,0.28848702,0.497
DARE,09:21:14.850,09:21:14.880,0.9178511,0.157
DARE,09:21:14.850,09:21:14.930,0.9178511,0.315
DARE,09:21:14.850,09:21:14.970,0.9178511,0.499
DARE,09:28:37.180,09:28:37.330,0.28709462,0.183
DARE,09:28:37.180,09:28:37.430,0.28709462,0.303
DARE,09:29:45.520,09:29:45.000,0.3594328,0.793
DARE,09:29:45.520,09:29:45.450,0.3594328,0.502
DARE,09:29:45.520,09:29:45.450,0.3594328,0.468
DARE,09:29:45.520,09:29:45.460,0.3594328,0.15
DARE,09:33:53.990,09:33:54.000,0.38023221,0.911
DARE,09:33:53.990,09:33:54.010,0.38023221,0.677
DARE,09:33:53.990,09:33:54.030,0.38023221,0.575
DARE,09:33:53.990,09:33:54.080,0.38023221,0.302
DARE,09:35:35.700,09:35:36.010,0.4204997,0.476
DARE,09:35:35.700,09:35:36.030,0.4204997,0.206
DARE,09:35:35.700,09:35:36.040,0.4204997,0.394
DARE,09:35:35.700,09:35:36.040,0.4204997,0.388
