station,EQCCT_pick_time,Kandilli_pick_time,EQCCT_pick_score
KAMT,09:31:24.290,09:31:24.200,0.409
KAMT,09:32:42.000,09:32:42.400,0.837
KAMT,09:32:42.070,09:32:42.400,0.512
KAMT,09:32:42.110,09:32:42.400,0.563
KARO,03:18:46.970,03:18:46.900,0.146
KARO,03:18:46.970,03:18:46.900,0.866
KARO,03:18:46.970,03:18:46.900,0.849
KARO,03:18:46.990,03:18:46.900,0.859
KARO,03:18:47.000,03:18:46.900,0.861
KARO,03:22:20.000,03:22:20.500,0.107
KARO,03:33:36.350,03:33:36.400,0.635
KARO,03:33:36.360,03:33:36.400,0.847
KARO,03:33:36.360,03:33:36.400,0.86
KARO,03:33:36.360,03:33:36.400,0.86
KARO,03:33:36.390,03:33:36.400,0.86
KARO,09:49:06.930,09:49:07.500,0.42
KARO,09:49:07.000,09:49:07.500,0.635
KARO,09:49:07.050,09:49:07.500,0.65
KARS,00:16:20.000,00:16:19.100,0.871
KARS,00:16:20.040,00:16:19.100,0.229
KMRS,09:01:53.870,09:01:53.700,0.238
KMRS,09:01:53.890,09:01:53.700,0.339
KMRS,09:01:53.890,09:01:53.700,0.384
KMRS,09:01:54.000,09:01:53.700,0.772
KMRS,09:11:47.160,09:11:47.500,0.755
KMRS,09:11:47.190,09:11:47.500,0.809
KMRS,09:11:47.190,09:11:47.500,0.82
KMRS,09:11:47.200,09:11:47.500,0.833
KMRS,09:12:33.330,09:12:33.200,0.749
KMRS,09:12:33.340,09:12:33.200,0.789
KMRS,09:12:33.340,09:12:33.200,0.769
KMRS,09:12:33.370,09:12:33.200,0.745
KMRS,09:34:22.840,09:34:22.900,0.629
KMRS,09:34:22.840,09:34:22.900,0.622
KMRS,09:34:22.850,09:34:22.900,0.697
KMRS,09:34:22.850,09:34:22.900,0.715
KOZT,09:01:54.000,09:01:54.400,0.925
KOZT,09:01:54.010,09:01:54.400,0.508
KOZT,09:01:54.330,09:01:54.400,0.692
KOZT,09:01:54.350,09:01:54.400,0.761
KOZT,09:03:43.490,09:03:44.400,0.199
KOZT,09:03:43.490,09:03:44.400,0.181
KOZT,09:05:34.000,09:05:34.800,0.932
KOZT,09:05:34.130,09:05:34.800,0.378
KOZT,09:05:34.140,09:05:34.800,0.36
KOZT,09:08:35.520,09:08:35.400,0.407
KOZT,09:08:35.550,09:08:35.400,0.268
KOZT,09:10:35.470,09:10:35.800,0.296
KOZT,09:10:35.490,09:10:35.800,0.345
KOZT,09:10:35.530,09:10:35.800,0.397
KOZT,09:11:59.000,09:11:59.400,0.589
KOZT,09:11:59.300,09:11:59.400,0.244
KOZT,09:11:59.430,09:11:59.400,0.606
KOZT,09:11:59.460,09:11:59.400,0.405
KOZT,09:34:37.140,09:34:37.700,0.581
KOZT,09:34:37.160,09:34:37.700,0.507
KOZT,09:34:37.210,09:34:37.700,0.446
KOZT,09:36:32.190,09:36:32.000,0.253
KOZT,09:36:32.690,09:36:32.000,0.425
KOZT,09:36:32.690,09:36:32.000,0.38
KOZT,09:36:33.000,09:36:32.000,0.688
KOZT,09:58:43.850,09:58:43.400,0.247
KULU,16:27:28.010,16:27:28.500,0.618
LICE,03:05:16.010,03:05:15.300,0.512
LICE,03:22:06.920,03:22:07.100,0.413
LICE,03:22:06.920,03:22:07.100,0.427
LICE,03:22:07.000,03:22:07.100,0.848
LICE,03:23:13.050,03:23:13.200,0.36
LICE,03:23:13.240,03:23:13.200,0.322
LICE,03:36:09.000,03:36:09.400,0.858
LICE,03:36:09.130,03:36:09.400,0.173
LICE,03:36:09.150,03:36:09.400,0.369
MDUB,09:53:13.860,09:53:13.900,0.862
MDUB,09:53:13.860,09:53:13.900,0.853
MDUB,09:53:13.860,09:53:13.900,0.838
MDUB,09:53:13.860,09:53:13.900,0.837
MDUB,09:53:13.860,09:53:13.900,0.715
MERS,09:04:00.750,09:04:00.300,0.543
MERS,09:04:00.790,09:04:00.300,0.508
MERS,09:04:00.840,09:04:00.300,0.263
MERS,09:05:52.000,09:05:52.000,0.832
MERS,09:05:52.040,09:05:52.000,0.158
MERS,09:05:52.040,09:05:52.000,0.258
MERS,09:12:16.000,09:12:15.900,0.78
MERS,09:12:16.130,09:12:15.900,0.17
MERS,09:24:13.180,09:24:12.800,0.106
MERS,09:36:49.150,09:36:49.700,0.253
MERS,09:36:49.150,09:36:49.700,0.233
SARI,09:03:54.000,09:03:53.700,0.56
SARI,09:03:54.130,09:03:53.700,0.207
SARI,09:03:54.190,09:03:53.700,0.179
SARI,09:05:40.530,09:05:41.100,0.19
SARI,09:05:40.570,09:05:41.100,0.297
SARI,09:05:40.570,09:05:41.100,0.366
SARI,09:05:41.000,09:05:41.100,0.711
SARI,09:06:12.260,09:06:11.500,0.168
SARI,09:10:40.290,09:10:41.200,0.196
SARI,09:10:40.290,09:10:41.200,0.182
SARI,09:12:04.930,09:12:05.800,0.471
SARI,09:12:04.970,09:12:05.800,0.494
SARI,09:12:05.000,09:12:05.800,0.952
SARI,09:12:05.000,09:12:05.800,0.653
