station,Phasenet-EQTransformer_Average_pick_time,Kandilli_pick_time,Phasenet_score,EQTransformer_score
DARE,22:45:12.300,22:45:11.360,0.33184108,0.8
DARE,22:59:16.700,22:59:16.140,0.42162615,0.8
DARE,23:02:05.600,23:02:05.260,0.8819761,0.66
DARE,23:05:33.600,23:05:33.820,0.95821524,0.67
DARE,23:08:15.900,23:08:15.760,0.6724458,0.7
DARE,23:11:49.600,23:11:49.055,0.51105875,0.93
DARE,23:13:01.300,23:13:00.925,0.8109854,0.86
DARE,23:18:25.200,23:18:25.010,0.50049424,0.95
DARE,23:38:37.700,23:38:37.620,0.88950133,0.46
DARE,23:45:53.400,23:45:53.630,0.8541781,0.68
DARE,23:48:45.000,23:48:44.810,0.37144735,0.18
DARE,23:54:30.600,23:54:30.835,0.6611646,0.94
DARE,23:56:13.900,23:56:13.060,0.8329005,0.92
DYBB,02:33:50.900,02:33:51.060,0.36380258,0.95
DYBB,03:05:07.300,03:05:07.360,0.5537756,0.62
DYBB,03:23:06.200,03:23:07.005,0.2910425,0.92
DYBB,22:40:38.900,22:40:38.835,0.35834762,0.86
DYBB,22:42:25.800,22:42:25.860,0.5139813,0.93
ENEZ,05:00:17.100,05:00:17.255,0.33847442,0.81
ERIK,04:24:52.000,04:24:51.870,0.41851714,0.86
ERZN,02:57:08.200,02:57:08.255,0.44377986,0.66
ERZN,07:51:05.900,07:51:05.300,0.4295284,0.36
ERZN,09:48:57.600,09:48:57.245,0.85751283,0.78
ERZN,10:12:48.500,10:12:48.780,0.27562568,0.8
ERZN,21:50:09.900,21:50:10.020,0.5587251,0.94
FETY,11:46:30.900,11:46:30.965,0.8515352,0.96
GAZK,04:24:44.800,04:24:44.980,0.96450394,0.66
GELI,04:24:50.900,04:24:50.895,0.8426888,0.7
GELI,05:00:11.700,05:00:11.745,0.61085516,0.44
GULA,10:25:28.900,10:25:29.000,0.3865515,0.36
GULA,12:02:44.900,12:02:44.800,0.38379055,0.51
GULA,12:21:50.600,12:21:51.005,0.28707182,0.55
GULA,13:59:23.600,13:59:23.355,0.29957592,0.86
GULA,20:44:33.900,20:44:33.730,0.5642215,0.8
GULA,21:15:56.200,21:15:56.155,0.5154179,0.7
GULA,23:50:38.600,23:50:39.300,0.28592166,0.66
GULT,08:25:04.300,08:25:05.115,0.4600243,0.62
GULT,18:26:35.900,18:26:36.020,0.4105098,0.67
GURO,02:52:37.200,02:52:37.050,0.3961783,0.93
GURO,17:18:14.300,17:18:14.970,0.5165586,0.92
KAMT,14:45:23.000,14:45:23.075,0.6866863,0.82
KARO,03:18:46.900,03:18:46.970,0.98702556,0.96
KARO,03:33:36.400,03:33:36.365,0.97802764,0.56
KARO,05:12:51.900,05:12:51.305,0.2810593,0.21
KARO,07:51:02.400,07:51:02.380,0.7866322,0.43
KARO,19:51:24.600,19:51:24.605,0.95070577,0.47
KAVV,03:30:37.700,03:30:37.785,0.61483586,0.74
KMRS,01:28:20.400,01:28:20.790,0.34615505,0.48
KMRS,02:01:49.900,02:01:50.400,0.7166681,0.13
KMRS,02:31:29.200,02:31:29.620,0.94667614,0.76
KMRS,02:36:58.100,02:36:58.095,0.87226367,0.63
KMRS,02:38:10.700,02:38:10.655,0.46228853,0.65
KMRS,02:55:12.700,02:55:12.680,0.8084211,0.78
KMRS,03:12:18.400,03:12:18.190,0.722728,0.44
KMRS,03:30:07.700,03:30:07.845,0.9740589,0.71
KMRS,03:32:54.800,03:32:54.780,0.93324643,0.8
KMRS,03:38:22.900,03:38:22.915,0.73484355,0.84
KMRS,04:15:55.200,04:15:55.175,0.49814847,0.7
KMRS,04:33:48.400,04:33:48.740,0.9802187,0.81
KMRS,05:08:39.800,05:08:39.975,0.9763057,0.88
KMRS,05:21:49.400,05:21:49.350,0.97669315,0.7
KMRS,05:25:23.100,05:25:23.155,0.9893142,0.71
KMRS,05:28:21.000,05:28:20.470,0.983495,0.47
KMRS,05:30:05.000,05:30:05.040,0.958904,0.78
KMRS,05:42:04.900,05:42:04.900,0.43974236,0.82
KMRS,05:48:07.300,05:48:07.555,0.96797276,0.64
KMRS,06:07:14.100,06:07:14.040,0.99278224,0.88
KMRS,06:07:48.900,06:07:48.855,0.5047902,0.51
KMRS,06:09:09.700,06:09:10.020,0.91255033,0.9
KMRS,06:13:12.200,06:13:11.855,0.5457677,0.8
KMRS,06:20:41.500,06:20:41.885,0.4405729,0.83
KMRS,06:26:34.100,06:26:34.155,0.9673155,0.33
KMRS,06:33:24.900,06:33:24.975,0.9581553,0.93
KMRS,06:35:00.300,06:35:00.005,0.4273878,0.4
KMRS,06:42:09.200,06:42:09.100,0.54932874,0.9
KMRS,06:46:59.100,06:46:58.975,0.6204456,0.92
KMRS,06:55:06.400,06:55:06.790,0.9235396,0.29
KMRS,06:59:09.700,06:59:09.650,0.9885477,0.42
KMRS,07:01:38.400,07:01:38.565,0.8937011,0.46
KMRS,07:16:59.900,07:17:00.020,0.9515079,0.86
KMRS,09:01:53.700,09:01:53.560,0.3004953,0.69
KMRS,09:11:47.500,09:11:47.250,0.9188046,0.41
KMRS,09:12:33.200,09:12:33.310,0.93858016,0.74
KMRS,10:15:01.400,10:15:01.195,0.8728488,0.71
KMRS,10:16:22.100,10:16:21.950,0.8152067,0.95
KMRS,10:21:45.300,10:21:44.465,0.9034744,0.77
KMRS,12:02:23.700,12:02:24.065,0.4305875,0.1
KMRS,12:16:33.900,12:16:34.195,0.40973797,0.41
KMRS,12:52:50.300,12:52:50.295,0.9781277,0.91
KMRS,15:40:09.800,15:40:09.980,0.41750526,0.93
KMRS,15:51:39.200,15:51:39.030,0.5145706,0.91
KMRS,15:54:09.500,15:54:09.400,0.9280987,0.75
KMRS,15:56:33.300,15:56:33.285,0.9628136,0.83
KMRS,15:59:39.600,15:59:39.095,0.36887544,0.95
KMRS,16:43:40.100,16:43:40.245,0.71875817,0.78
KMRS,17:24:48.700,17:24:48.960,0.9070966,0.94
KMRS,17:28:53.900,17:28:54.360,0.4584339,0.57
KMRS,17:39:35.400,17:39:35.090,0.46350345,0.72
KMRS,17:40:50.800,17:40:50.780,0.2801946,0.58
KMRS,19:40:37.500,19:40:37.275,0.34081957,0.9
KMRS,20:37:56.700,20:37:56.960,0.44643074,0.25
KMRS,20:41:39.100,20:41:38.995,0.8031983,0.89
KMRS,20:44:10.900,20:44:10.985,0.95067143,0.94
KMRS,21:03:17.100,21:03:17.355,0.7900489,0.54
KMRS,21:13:02.500,21:13:02.260,0.9477475,0.37
KMRS,21:13:49.500,21:13:49.475,0.9753394,0.73
KMRS,22:14:14.800,22:14:14.105,0.7169575,0.89
