station,Phasenet_pick_time,Kandilli_pick_time,Phasenet_pick_score
DYBB,09:44:13.730,09:44:13.600,0.43545195
DYBB,14:45:24.980,14:45:25.700,0.3504065
DYBB,17:17:57.500,17:17:56.900,0.28266335
DYBB,18:33:05.800,18:33:06.100,0.6158497
DYBB,20:23:33.540,20:23:33.500,0.74897027
DYBB,20:53:51.960,20:53:52.100,0.7973242
DYBB,22:12:04.260,22:12:05.200,0.2971919
DYBB,22:40:38.670,22:40:38.900,0.35834762
DYBB,22:42:25.720,22:42:25.800,0.5139813
DYBB,23:46:23.060,23:46:23.100,0.3157325
DYBB,23:55:04.760,23:55:04.500,0.6466088
ENEZ,05:00:17.510,05:00:17.100,0.33847442
ERIK,04:24:51.920,04:24:52.000,0.41851714
ERZN,02:57:08.240,02:57:08.200,0.44377986
ERZN,07:51:05.600,07:51:05.900,0.4295284
ERZN,09:48:57.500,09:48:57.600,0.85751283
ERZN,10:12:48.560,10:12:48.500,0.27562568
ERZN,21:50:10.040,21:50:09.900,0.5587251
FETY,11:46:30.930,11:46:30.900,0.8515352
GAZK,04:24:44.930,04:24:44.800,0.96450394
GELI,04:24:50.890,04:24:50.900,0.8426888
GELI,05:00:11.760,05:00:11.700,0.61085516
GEML,04:24:54.160,04:24:54.500,0.5666077
GULA,10:25:29.260,10:25:28.900,0.3865515
GULA,12:02:44.600,12:02:44.900,0.38379055
GULA,12:21:50.920,12:21:50.600,0.28707182
GULA,13:59:23.710,13:59:23.600,0.29957592
GULA,20:44:33.890,20:44:33.900,0.5642215
GULA,21:15:56.040,21:15:56.200,0.5154179
GULA,21:35:24.250,21:35:23.500,0.29783776
GULA,23:50:39.160,23:50:38.600,0.28592166
GULT,08:25:05.220,08:25:04.300,0.4600243
GULT,18:26:36.040,18:26:35.900,0.4105098
GURO,02:52:37.100,02:52:37.200,0.3961783
GURO,05:12:48.330,05:12:48.600,0.5139761
GURO,07:59:33.230,07:59:33.500,0.5043079
GURO,09:49:18.120,09:49:18.200,0.3018853
GURO,17:18:14.930,17:18:14.300,0.5165586
KAMT,14:45:23.080,14:45:23.000,0.6866863
KARO,03:18:46.940,03:18:46.900,0.98702556
KARO,03:33:36.360,03:33:36.400,0.97802764
KARO,05:12:51.200,05:12:51.900,0.2810593
KARO,07:51:02.320,07:51:02.400,0.7866322
KARO,09:49:06.920,09:49:07.500,0.4962353
KARO,14:11:36.230,14:11:36.300,0.2950687
KARO,17:18:05.410,17:18:05.700,0.3845722
KARO,19:51:24.590,19:51:24.600,0.95070577
KAVV,03:30:37.740,03:30:37.700,0.61483586
KCTX,04:24:41.830,04:24:42.100,0.6130563
KMRS,01:28:20.580,01:28:20.400,0.34615505
KMRS,01:41:04.940,01:41:05.800,0.35853228
KMRS,02:01:50.550,02:01:49.900,0.7166681
KMRS,02:31:29.530,02:31:29.200,0.94667614
KMRS,02:36:58.120,02:36:58.100,0.87226367
KMRS,02:38:10.320,02:38:10.700,0.46228853
KMRS,02:55:12.610,02:55:12.700,0.8084211
KMRS,03:12:18.150,03:12:18.400,0.722728
KMRS,03:30:07.690,03:30:07.700,0.9740589
KMRS,03:32:54.760,03:32:54.800,0.93324643
KMRS,03:38:22.830,03:38:22.900,0.73484355
KMRS,04:15:55.350,04:15:55.200,0.49814847
KMRS,04:33:48.730,04:33:48.400,0.9802187
KMRS,05:08:39.950,05:08:39.800,0.9763057
KMRS,05:21:49.320,05:21:49.400,0.97669315
KMRS,05:25:23.140,05:25:23.100,0.9893142
KMRS,05:28:20.660,05:28:21.000,0.983495
KMRS,05:30:05.020,05:30:05.000,0.958904
KMRS,05:42:04.800,05:42:04.900,0.43974236
KMRS,05:48:07.530,05:48:07.300,0.96797276
KMRS,06:07:14.070,06:07:14.100,0.99278224
KMRS,06:07:48.710,06:07:48.900,0.5047902
KMRS,06:09:10.040,06:09:09.700,0.91255033
KMRS,06:13:11.830,06:13:12.200,0.5457677
KMRS,06:20:41.770,06:20:41.500,0.4405729
KMRS,06:26:34.040,06:26:34.100,0.9673155
KMRS,06:33:24.950,06:33:24.900,0.9581553
KMRS,06:34:59.990,06:35:00.300,0.4273878
KMRS,06:42:09.200,06:42:09.200,0.54932874
KMRS,06:43:51.030,06:43:51.100,0.91793346
KMRS,06:46:58.950,06:46:59.100,0.6204456
KMRS,06:55:06.590,06:55:06.400,0.9235396
KMRS,06:59:09.670,06:59:09.700,0.9885477
KMRS,07:01:38.570,07:01:38.400,0.8937011
KMRS,07:16:59.930,07:16:59.900,0.9515079
KMRS,09:01:53.490,09:01:53.700,0.3004953
KMRS,09:11:47.180,09:11:47.500,0.9188046
KMRS,09:12:33.320,09:12:33.200,0.93858016
KMRS,09:34:22.780,09:34:22.900,0.90184706
KMRS,10:15:01.390,10:15:01.400,0.8728488
KMRS,10:16:21.900,10:16:22.100,0.8152067
KMRS,10:21:44.640,10:21:45.300,0.9034744
KMRS,11:00:20.310,11:00:20.100,0.36985734
KMRS,12:02:23.850,12:02:23.700,0.4305875
KMRS,12:16:34.220,12:16:33.900,0.40973797
KMRS,12:52:50.310,12:52:50.300,0.9781277
KMRS,15:40:09.960,15:40:09.800,0.41750526
KMRS,15:51:39.060,15:51:39.200,0.5145706
KMRS,15:54:09.370,15:54:09.500,0.9280987
