,file_name,begin_time,phase_time,phase_score,phase_type,station_id
74,ELL _20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:10:28.600000Z,0.895,P,ELL 
75,ELL _20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:17:05.110000Z,0.665,S,ELL 
76,HDMB_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:40:40.000000Z,0.662,P,HDMB
77,HDMB_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:18:22.370000Z,0.572,S,HDMB
78,KAMT_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:56:42.000000Z,0.895,P,KAMT
79,KAMT_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:57:23.200000Z,0.864,S,KAMT
80,KIZT_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:31:05.960000Z,0.352,P,KIZT
81,KIZT_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:29:00.310000Z,0.555,S,KIZT
82,KULU_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:40:30.000000Z,0.623,P,KULU
83,KULU_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:41:18.100000Z,0.362,S,KULU
84,LMOS_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:17:22.000000Z,0.706,P,LMOS
85,LMOS_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:57:37.440000Z,0.551,S,LMOS
86,SDAG_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:10:22.950000Z,0.864,P,SDAG
87,SDAG_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:10:26.150000Z,0.773,S,SDAG
88,YAYX_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:40:21.000000Z,0.772,P,YAYX
89,YAYX_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:40:24.670000Z,0.53,S,YAYX
90,YESY_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:01:52.000000Z,0.926,P,YESY
91,YESY_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:48:46.760000Z,0.801,S,YESY
92,YOZ _20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:56:32.000000Z,0.863,P,YOZ 
93,YOZ _20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:05:40.060000Z,0.792,S,YOZ 
94,AFSR_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:18:40.120000Z,0.391,P,AFSR
95,AFSR_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:01:59.150000Z,0.534,S,AFSR
96,BAKL_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:40:30.000000Z,0.968,P,BAKL
97,BAKL_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:40:32.970000Z,0.741,S,BAKL
98,GULA_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:18:17.000000Z,0.934,P,GULA
99,GULA_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:12:59.550000Z,0.744,S,GULA
100,KULU_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:40:06.000000Z,0.839,P,KULU
101,KULU_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:18:39.500000Z,0.344,S,KULU
102,LMOS_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:36:56.000000Z,0.909,P,LMOS
103,LMOS_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:33:06.130000Z,0.723,S,LMOS
104,RUZG_20230206_1306,2023-02-06T13:06:12.000000Z,2023-02-06T13:18:56.010000Z,0.489,P,RUZG
105,RUZG_20230206_1306,2023-02-06T13:06:12.000000Z,2023-02-06T13:19:06.830000Z,0.211,S,RUZG
106,SDAG_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:40:28.000000Z,0.698,P,SDAG
107,SDAG_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:01:46.370000Z,0.442,S,SDAG
108,YESY_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:16:56.860000Z,0.913,P,YESY
109,YESY_20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:16:58.570000Z,0.574,S,YESY
110,YOZ _20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:39:52.000000Z,0.886,P,YOZ 
111,YOZ _20230206_1300,2023-02-06T13:00:00.000000Z,2023-02-06T13:53:39.470000Z,0.715,S,YOZ 
112,BABD_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:00:05.080000Z,0.113,P,BABD
113,BABD_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:00:06.990000Z,0.473,S,BABD
114,BAKL_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:39:52.010000Z,0.605,P,BAKL
115,BAKL_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:39:59.860000Z,0.52,S,BAKL
116,BLCB_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:46:16.360000Z,0.699,P,BLCB
117,BLCB_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:23:25.870000Z,0.247,S,BLCB
118,CORM_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:27:52.000000Z,0.715,P,CORM
119,CORM_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:43:37.350000Z,0.721,S,CORM
120,DKL _20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:44:08.050000Z,0.893,P,DKL 
121,DKL _20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:01:09.530000Z,0.356,S,DKL 
122,GAZK_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:49:13.960000Z,0.828,P,GAZK
123,GAZK_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:27:21.070000Z,0.757,S,GAZK
124,GULA_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:27:28.000000Z,0.894,P,GULA
125,GULA_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:27:31.600000Z,0.757,S,GULA
126,HDMB_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:46:56.000000Z,0.876,P,HDMB
127,HDMB_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:55:22.070000Z,0.766,S,HDMB
128,KULU_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:45:24.600000Z,0.802,P,KULU
129,KULU_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:45:31.630000Z,0.376,S,KULU
130,LMOS_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:46:54.000000Z,0.893,P,LMOS
131,LMOS_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:27:52.670000Z,0.659,S,LMOS
132,MRMT_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:27:12.360000Z,0.19,P,MRMT
133,MRMT_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:27:16.310000Z,0.47,S,MRMT
134,SDAG_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:11:30.000000Z,0.672,P,SDAG
135,SDAG_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:22:23.370000Z,0.772,S,SDAG
136,URFA_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:15:24.000000Z,0.905,P,URFA
137,URFA_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:33:06.500000Z,0.824,S,URFA
138,UVEZ_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:57:17.960000Z,0.329,P,UVEZ
139,UVEZ_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:58:47.520000Z,0.121,S,UVEZ
140,YAYX_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:07:12.590000Z,0.904,P,YAYX
141,YAYX_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:07:14.550000Z,0.862,S,YAYX
142,YER _20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:29:22.000000Z,0.454,P,YER 
143,YER _20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:29:25.950000Z,0.225,S,YER 
144,YESY_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:34:52.640000Z,0.846,P,YESY
145,YESY_20230206_1400,2023-02-06T14:00:00.000000Z,2023-02-06T14:28:26.630000Z,0.551,S,YESY
146,BODT_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:18:37.070000Z,0.861,P,BODT
147,BODT_20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:21:45.560000Z,0.804,S,BODT
148,DKL _20230206_1600,2023-02-06T16:00:00.000000Z,2023-02-06T16:47:07.450000Z,0.585,P,DKL 
