,file_name,begin_time,phase_time,phase_score,phase_type,station_id
112,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:38:02.590000Z,0.237,S,APMY
113,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:38:02.590000Z,0.164,S,APMY
114,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:41:56.130000Z,0.209,S,APMY
115,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:48:30.920000Z,0.113,S,APMY
116,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:48:30.950000Z,0.268,S,APMY
117,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:48:44.990000Z,0.302,S,APMY
118,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:49:04.890000Z,0.329,S,APMY
119,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:48:44.990000Z,0.174,S,APMY
120,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:49:31.840000Z,0.371,S,APMY
121,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:52:55.730000Z,0.202,S,APMY
122,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:52:55.730000Z,0.195,S,APMY
123,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:56:05.530000Z,0.28,S,APMY
124,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:56:05.520000Z,0.145,S,APMY
124,DKL _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:00:09.000000Z,0.171,P,DKL 
125,DKL _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:20.000000Z,0.121,P,DKL 
126,DKL _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:32.010000Z,0.29,P,DKL 
127,DKL _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:40.000000Z,0.711,P,DKL 
128,DKL _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:56.000000Z,0.251,P,DKL 
