No,Code,Latitude,Longitude,Elivation Mt.,Location,OpenDate,Notes - İstasyon Kurulumunu Yapanlar,Sensor and Digitizer,Netwok Code,SensorType,Registry,Status,CloseDate,fType
284,LAPK,40.3151,26.6425,2,Lapseki MYO-CANAKKALE,20200910,Tolga BEKLER CANAKKALE,T5BV7/C2509,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
285,LEF,35.1118,32.8433,152,KKTC-Lefke,20070320,MEHMET YILMAZER,T6Y91/C4495,KO,[B] 6T/CMG-CD24,YES,OPEN,OnSite,HZ
286,LFK,35.2832,33.5335,690,KKTC-Lefkosa,20070322,MEHMET YILMAZER,T3P26/A538,KO,[B] 3ESP/CMG-DM24,YES,OPEN,OnSite,HZ
287,LICE,38.4532,40.6446,963,Lice- DIYARBAKIR,20221125,Sadik SAHINARSLAN,T310422/xxxx,KO,[B] 3ESPC-Minimus/CMG-DM24,YES,OPEN,OnSite,HZ
288,LMOS,36.6021,32.6962,1430,Esentepe - Göktepe - KARAMAN,20221004,Zafer Öğütcü - Özkan Çok,T6Y77/C4497,KO,[B] 6T/CMG-CD24,YES,OPEN,OnSite,HZ
289,LOD,39.8884,32.7634,902,LODUMLU,20070202,Yavuz GÜNES-Dogan KALAFAT,T3Z33/A648,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
290,MAEG,40.9653,27.9448,2,MARMARA EREGLISI,20210608,Murat Suvarikli - Özkan Çok,T5DM9/C3141,KO,[A] 5T/CMG-CD24,YES,OPEN,OnSite,HZ
291,MAGT,35.1695,33.8714,23,KKTC-Tuzla-MAGUSA,20230711,KKTC- SENTEZ,T6Y76/C4498,KO,[B] 6T/CMG-CD24,YES,OPEN,OnSite,HZ
292,MALT,38.3134,38.4273,1112,Malatya,19980101,26.11.2011 GURALP BB e cevrildi,T36921/A3171,KO,[B] 3T/CMG-DM24,YES,CLOSED,20161201,HZ
293,MAR2,40.7172,27.3123,0,MARsite,20141004,MARsite Broadband,xxx/yyy,KO,[B] 6T/CMG-CD24,YES,CLOSED,20161231,HZ
294,MAR3,40.7432,27.2945,243,MARsite,20141004,MARsite Broadband,xxx/yyy,KO,[B] 6T/CMG-CD24,YES,CLOSED,20161231,HZ
295,MAR4,40.788,27.3007,905,MARsite,20140201,MARsite Broadband,NA,KO,BB,Yes,OPEN,OnSite,HZ
296,MAR6,40.7041,27.2653,334,MARsite,20130101,MARsite Broadband,xxx/yyy,KO,[B] 6T/CMG-CD24,YES,CLOSED,20161231,HZ
297,MAR9,40.6196,27.702,99,MARsite,20140201,MARsite Broadband,NA,KO,BB,Yes,OPEN,OnSite,HZ
298,MASR,41.7596,32.4658,325,Amasra,20110101,Turkcell-Ivme Olcer,T5V81/C1562,KO,[A] 5TD/CMG-CD24,YES,CLOSED,20170920,HZ
299,MAZI,37.4593,40.4465,1204,MAZIDAG_MARDIN,20090629,Yavuz GÜNES-Dogan KALAFAT,T3V87/A608,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
300,MDNY,40.3709,28.8846,116,MUDANYA,20080709,M.SUVARIKLI,[T35500/C808]-[T5GL1/A6481],KO,[BA] [3ESP]-[5TD]/[CMG-DM24]-[CMG-CD24],YES,OPEN,OnSite,HZ
301,MDUB,40.4712,31.1976,1109,MUDURNU,20080522,Yavuz Gunes-Dogan Kalafat ,T3X34/A653,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
302,MDYO,38.3137,39.0383,926,DOGANYOL-MALATYA,20200214,DEPREM MUH. MALATYA IVME,T5KN5/A7199,KO,[A] 5T/CMG-DM24,YES,CLOSED,20201026,HZ
303,MERS,36.8678,34.522,750,MERSIN-YENISEHIR,20050823,Yavuz GÜNES-Dogan KALAFAT,T3W96/A600,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
304,MFTX,40.7867,27.2812,924,Murefte,19981010,----,T4601/yyy,KO,[B] 40T/CMG-DM24,YES,CLOSED,20080101,HZ
305,MLAZ,39.141,42.5496,1581,Malazgirt-MUS,20121126,GPRS,T36977/A3355,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
306,MLSB,37.2953,27.7767,500,MYLAS-MUGLA,20030701,Murat SuvarikliDean Child (40T),T4860/D0621,KO,[B] 40T/CMG-DM24,YES,OPEN,OnSite,HZ
307,MMAD,40.6555,27.6688,1,Marmara Adası,20240417,"IRAP -ivme-selevel-meteo, Hasan D, SENTEZ",6715/yyy,KO,[A] ACEBOX/SL06,YES,OPEN,OnSite,HZ
308,MNVG,36.7935,31.4161,24,Manavgat,20110810,Turkcell Proje,T5AE0/C2087,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
309,MRMT,40.609,27.5832,213,Marmara adasi,20081009,----,T36785/A3053,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
310,MRSB,36.7161,28.1969,402,Marmaris,20110101,Turkcell-Ivme Olcer,T5V02/C1514,KO,[A] 5TD/CMG-CD24,YES,CLOSED,20190501,HZ
311,MSKC,40.3092,27.6724,1,Misakca-Bandırma-BALIKESIR,20240401,"IRAP -ivme-selevel-meteo,Burak, Mehmet G, Hasan D, SENTEZ",6702/yyy,KO,[A] ACEBOX/SL06,YES,OPEN,OnSite,HZ
312,MUDA,40.3566,28.9294,1,Mudanya-BURSA,20240320,"IRAP -ivme-selevel-meteo Ozkan C,Mehmet G, Hasan D, SENTEZ",6705/yyy,KO,[A] ACEBOX/SL06,YES,OPEN,OnSite,HZ
313,NAZL,37.9641,28.2922,510,Nazilli-AYDIN,20180504,IVME VE 40T bir arada ZÖ-MK-MS-OC,[T4X36/A4005]-[T5CH7/A4184],KO,[SA] [40T]-[5TD]/[CMG-DM24]-[CMG-DM24],YES,OPEN,OnSite,HZ
314,NIG,38.108,34.6142,2270,NIGDE,20111123,----,T5V27/C1559,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
315,ODEM,38.2762,28.0747,797,Odemis_IZMIR,20180504,IVME VE 40T bir arada ZÖ-MK-MS-OC,[T4X26/A4095]-[T5CH3/A4183],KO,[SA] [40T]-[5TD]/[CMG-DM24]-[CMG-DM24],YES,OPEN,OnSite,HZ
316,OREN,36.2078,33.4587,61,Akkuyu,20110701,Dogan Kalafat-Murat Suvarikli-Zafer ÖGÜTÇÜ,T5V05/C1464,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
317,ORLT,40.0452,28.8914,650,ORHANELI-BURSA,20111005,----,T5V17/C1473,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
318,OSMA,40.9939,34.7605,418,Osmancık- ÇORUM,20231230,Özkan Çok -Remzi Polat,T6Y78/C4500,KO,[B] 6T/CMG-CD24,YES,OPEN,OnSite,HZ
319,OSMT,40.6009,29.7,798,"Yalova, Iznik, Osmaniye",20120410,Murat Suvarikli,T5V12/C1512,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
320,OZGR,40.8634,28.9943,1,Demokrasi ve Ozgurluk Adası,20240421,"IRAP -ivme-selevel-meteo,Ozkan ç, Mehmet G, Hasan D, SENTEZ",6710/yyy,KO,[A] ACEBOX/SL06,YES,OPEN,OnSite,HZ
321,PERB,41.1016,37.7634,270,Persembe-ORDU,20240627,Murat Suvarikli - Özkan Çok,T6J02/C2712,KO,[B] 6T/CMG-CD24,YES,OPEN,OnSite,HZ
322,PHSR,41.6308,27.5238,263,PINARHYSAR-KIRKLARELI,20090709,ZAFER ÖGÜTÇÜ-FEYZA NUR BEKLER,T3Z31/A647,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
