station,Phasenet_pick_time,Kandilli_pick_time,Phasenet_pick_score
DARE,23:11:57.600,23:11:57.700,0.48605186
DARE,23:13:48.240,23:13:48.400,0.7508955
DARE,23:17:43.160,23:17:43.200,0.82391787
DARE,23:18:31.030,23:18:30.900,0.8587236
DARE,23:21:22.060,23:21:22.000,0.48909605
DARE,23:27:30.140,23:27:29.600,0.77918404
DARE,23:32:29.390,23:32:29.200,0.7688524
DARE,23:36:38.630,23:36:38.500,0.6253556
DARE,23:38:45.870,23:38:45.700,0.8094023
DARE,23:46:01.640,23:46:01.900,0.57793075
DARE,23:48:52.660,23:48:52.900,0.8065722
DARE,23:54:42.260,23:54:41.700,0.65046996
DARE,23:56:22.630,23:56:22.700,0.7540002
DYBB,02:10:56.920,02:10:57.400,0.50018984
DYBB,02:12:37.870,02:12:38.300,0.47400808
DYBB,02:39:30.170,02:39:30.500,0.7736846
DYBB,02:54:12.500,02:54:12.700,0.7522571
DYBB,03:01:56.720,03:01:57.100,0.65405405
DYBB,03:23:24.410,03:23:24.600,0.6163421
DYBB,03:36:21.760,03:36:21.800,0.7080499
DYBB,04:14:59.310,04:14:59.300,0.7112037
DYBB,05:33:00.850,05:33:01.300,0.39852187
DYBB,05:56:33.950,05:56:34.900,0.6388959
DYBB,06:02:31.500,06:02:31.600,0.62752175
DYBB,06:28:39.720,06:28:40.600,0.48772034
DYBB,06:34:52.760,06:34:53.000,0.6946102
DYBB,06:50:31.260,06:50:32.100,0.5589266
DYBB,07:54:28.260,07:54:29.100,0.43249008
DYBB,07:59:45.760,07:59:45.100,0.8425249
DYBB,08:41:09.190,08:41:09.600,0.70740867
DYBB,08:59:19.480,08:59:19.800,0.3417356
DYBB,09:21:50.240,09:21:50.600,0.6076915
DYBB,09:44:30.400,09:44:30.100,0.61819804
DYBB,09:49:17.580,09:49:17.500,0.47736165
DYBB,10:13:01.290,10:13:01.600,0.4707785
DYBB,12:35:32.630,12:35:32.600,0.62142336
DYBB,12:40:07.520,12:40:07.500,0.5846238
DYBB,14:51:58.440,14:51:59.400,0.44019425
DYBB,14:58:45.420,14:58:44.600,0.37976488
DYBB,16:35:47.030,16:35:46.600,0.62551975
DYBB,17:18:07.610,17:18:07.300,0.6007204
DYBB,18:11:12.060,18:11:11.800,0.505975
DYBB,18:18:31.550,18:18:32.300,0.5580574
DYBB,19:16:01.220,19:16:01.700,0.7848952
DYBB,19:47:17.210,19:47:18.000,0.55103475
DYBB,20:23:51.350,20:23:50.600,0.5309246
DYBB,20:54:13.700,20:54:12.900,0.66614646
DYBB,23:55:12.370,23:55:12.500,0.29071987
ERZN,02:52:53.610,02:52:53.100,0.4593329
ERZN,02:57:20.260,02:57:19.300,0.7699965
ERZN,04:19:40.260,04:19:39.700,0.73359466
ERZN,21:50:14.900,21:50:14.700,0.8123609
FETY,11:46:38.520,11:46:38.600,0.7807269
GULA,09:32:45.440,09:32:46.100,0.7743803
GULT,18:31:15.740,18:31:16.600,0.82707417
GURO,00:16:28.590,00:16:28.900,0.54668546
GURO,02:52:55.130,02:52:55.900,0.68861026
GURO,05:12:57.350,05:12:56.900,0.41886067
GURO,07:59:46.950,07:59:46.800,0.31548125
GURO,19:51:46.970,19:51:47.300,0.5135435
GURO,23:55:37.630,23:55:37.400,0.8454577
KARO,03:18:48.770,03:18:48.800,0.9351173
KARO,03:33:42.080,03:33:42.100,0.9364145
KARO,07:51:10.970,07:51:10.900,0.7344224
KARO,14:45:44.320,14:45:43.900,0.5745938
KARO,19:51:30.140,19:51:30.000,0.82232666
KARS,00:16:31.740,00:16:32.500,0.74011654
KARS,22:37:35.790,22:37:35.500,0.6591636
KMRS,01:40:37.830,01:40:37.500,0.710992
KMRS,01:41:10.290,01:41:10.500,0.6939235
KMRS,02:01:54.330,02:01:53.900,0.96827376
KMRS,02:31:32.160,02:31:32.500,0.96267825
KMRS,02:37:00.200,02:36:59.900,0.9720927
KMRS,02:38:15.140,02:38:15.100,0.91552836
KMRS,02:50:53.230,02:50:53.600,0.31960195
KMRS,02:55:15.800,02:55:16.000,0.9555858
KMRS,03:06:27.140,03:06:27.400,0.64619416
KMRS,03:12:22.070,03:12:21.900,0.89479303
KMRS,03:14:59.900,03:14:59.900,0.87856334
KMRS,03:17:29.280,03:17:29.300,0.84815645
KMRS,03:18:35.770,03:18:35.700,0.47203124
KMRS,03:30:09.360,03:30:09.500,0.8365758
KMRS,03:32:57.240,03:32:57.300,0.84156245
KMRS,03:38:27.040,03:38:27.000,0.7831962
KMRS,04:15:58.790,04:15:59.000,0.6377746
KMRS,04:33:50.770,04:33:50.300,0.9567826
KMRS,05:08:42.460,05:08:42.600,0.8910537
KMRS,05:21:53.140,05:21:53.100,0.87938833
KMRS,05:25:26.400,05:25:26.000,0.95595264
KMRS,05:25:45.140,05:25:45.400,0.5568764
KMRS,05:28:22.440,05:28:22.800,0.9676472
KMRS,05:30:08.380,05:30:07.800,0.9015684
KMRS,05:48:12.500,05:48:12.200,0.9251994
KMRS,06:04:20.870,06:04:20.600,0.4991434
KMRS,06:07:15.710,06:07:16.200,0.93619704
KMRS,06:07:51.940,06:07:51.700,0.550771
KMRS,06:09:12.250,06:09:11.900,0.92560863
KMRS,06:13:15.740,06:13:15.900,0.83945906
KMRS,06:20:45.410,06:20:45.200,0.72781456
KMRS,06:26:37.810,06:26:38.400,0.82330585
KMRS,06:29:50.420,06:29:50.200,0.48707804
KMRS,06:33:28.990,06:33:29.600,0.8905073
KMRS,06:42:11.260,06:42:11.400,0.9289689
KMRS,06:43:52.850,06:43:52.400,0.9383199
KMRS,06:47:01.010,06:47:01.300,0.97032094
KMRS,06:55:14.390,06:55:13.700,0.6480839
KMRS,06:59:12.990,06:59:12.500,0.9327673
KMRS,07:01:42.430,07:01:42.300,0.7369257
KMRS,07:03:16.220,07:03:16.100,0.7687883
KMRS,07:17:02.180,07:17:02.200,0.9782693
KMRS,09:02:06.780,09:02:06.300,0.81427026
KMRS,09:12:35.550,09:12:35.400,0.9556619
KMRS,09:34:24.710,09:34:24.900,0.94742167
KMRS,10:15:05.960,10:15:05.600,0.90038216
KMRS,10:16:24.800,10:16:24.300,0.9769391
KMRS,10:32:28.260,10:32:27.800,0.4862494
KMRS,10:36:31.710,10:36:31.400,0.6249221
KMRS,10:59:44.840,10:59:44.600,0.85025424
KMRS,11:00:28.950,11:00:28.900,0.81832874
KMRS,11:01:23.730,11:01:24.200,0.35189414
KMRS,11:03:04.520,11:03:04.100,0.5173614
KMRS,12:16:38.670,12:16:38.300,0.62860054
KMRS,13:22:22.020,13:22:22.000,0.91211706
KMRS,13:46:45.480,13:46:45.800,0.81696355
KMRS,15:40:16.200,15:40:16.200,0.8167054
KMRS,15:51:51.650,15:51:51.900,0.8008486
KMRS,15:54:13.110,15:54:13.300,0.90358436
KMRS,16:43:49.120,16:43:48.900,0.6934165
KMRS,17:09:01.550,17:09:01.600,0.8363827
KMRS,17:24:51.120,17:24:51.100,0.9472813
KMRS,17:28:57.580,17:28:57.500,0.41600716
KMRS,17:39:47.090,17:39:47.300,0.8314114
KMRS,20:13:46.190,20:13:45.600,0.7222817
KMRS,20:41:45.680,20:41:45.900,0.6411081
KMRS,21:03:19.720,21:03:19.600,0.8388144
KMRS,21:13:05.960,21:13:05.900,0.64661956
KMRS,21:13:52.070,21:13:51.700,0.8819324
KMRS,21:20:29.070,21:20:29.400,0.6383373
KMRS,21:25:36.030,21:25:36.300,0.9263682
KMRS,22:14:22.580,22:14:23.100,0.78357327
KMRS,22:26:40.310,22:26:40.400,0.6777475
KMRS,22:38:05.170,22:38:05.900,0.61493087
KMRS,22:45:15.240,22:45:15.100,0.92812806
KMRS,22:51:38.260,22:51:38.600,0.77257025
KMRS,22:55:42.940,22:55:43.100,0.8478811
KMRS,22:57:59.470,22:57:59.400,0.9191325
KMRS,22:59:46.890,22:59:47.600,0.5347463
KMRS,23:02:26.940,23:02:27.000,0.82159984
KMRS,23:13:02.770,23:13:02.700,0.8882458
KMRS,23:13:51.030,23:13:50.700,0.62539506
KMRS,23:14:56.070,23:14:56.200,0.804118
KMRS,23:30:28.290,23:30:27.500,0.85350615
KMRS,23:31:41.530,23:31:41.600,0.71013284
KMRS,23:54:36.390,23:54:36.600,0.86945
KOZT,01:52:22.920,01:52:22.400,0.44029188
KOZT,02:02:17.070,02:02:17.000,0.66948736
KOZT,02:19:28.260,02:19:28.400,0.57041425
KOZT,02:23:46.940,02:23:47.000,0.71377575
KOZT,02:37:25.170,02:37:25.200,0.42602438
KOZT,02:38:43.420,02:38:42.800,0.36003625
KOZT,02:44:17.920,02:44:18.500,0.5051521
KOZT,02:55:42.270,02:55:41.900,0.7348272
KOZT,03:03:36.820,03:03:37.700,0.59592277
KOZT,03:12:50.360,03:12:50.900,0.7464682
KOZT,03:30:37.280,03:30:37.700,0.70214057
KOZT,03:33:20.640,03:33:21.400,0.77317905
KOZT,03:42:02.440,03:42:03.400,0.62498236
KOZT,03:57:19.370,03:57:19.700,0.5666489
KOZT,03:58:54.210,03:58:54.200,0.48174238
KOZT,04:11:23.910,04:11:23.200,0.5573864
KOZT,04:14:15.100,04:14:15.500,0.2943828
KOZT,04:14:16.200,04:14:15.500,0.5780804
