station,Phasenet-EQTransformer_Average_pick_time,Kandilli_pick_time,Phasenet_score,EQTransformer_score
DARE,17:39:45.100,17:39:44.535,0.764284,0.18
DARE,17:40:52.300,17:40:52.325,0.73677105,0.41
DARE,17:43:25.100,17:43:24.870,0.6821581,0.41
DARE,17:44:50.400,17:44:50.500,0.69649446,0.41
DARE,17:49:18.300,17:49:17.945,0.87411016,0.61
DARE,17:51:40.900,17:51:41.900,0.93959475,0.74
DARE,18:03:12.200,18:03:11.830,0.46492285,0.35
DARE,18:12:54.300,18:12:54.885,0.86052775,0.57
DARE,18:14:20.900,18:14:21.420,0.4983539,0.22
DARE,18:14:20.900,18:14:21.515,0.4983539,0.38
DARE,18:15:45.300,18:15:45.980,0.66365147,0.22
DARE,18:15:45.300,18:15:46.135,0.66365147,0.41
DARE,18:23:01.600,18:23:00.860,0.6777361,0.2
DARE,18:25:50.600,18:25:50.830,0.75686353,0.55
DARE,18:30:05.300,18:30:06.110,0.835575,0.62
DARE,18:44:21.000,18:44:21.065,0.5308589,0.16
DARE,18:49:09.600,18:49:09.660,0.82846045,0.59
DARE,19:12:49.500,19:12:49.830,0.74299055,0.41
DARE,19:16:18.600,19:16:19.180,0.599941,0.32
DARE,19:19:17.300,19:19:17.835,0.713258,0.45
DARE,19:19:17.300,19:19:17.880,0.713258,0.68
DARE,19:21:33.300,19:21:33.625,0.7156735,0.32
DARE,19:31:17.900,19:31:17.860,0.6448881,0.5
DARE,19:37:53.200,19:37:53.085,0.86000454,0.48
DARE,19:40:40.100,19:40:40.285,0.76285136,0.41
DARE,19:43:59.900,19:43:59.730,0.899689,0.53
DARE,19:48:27.500,19:48:27.425,0.6065506,0.22
DARE,20:05:39.300,20:05:40.090,0.844682,0.47
DARE,20:08:48.200,20:08:48.845,0.5675494,0.24
DARE,20:12:07.200,20:12:07.570,0.69143534,0.37
DARE,20:19:14.900,20:19:14.865,0.7162487,0.36
DARE,20:22:28.200,20:22:27.945,0.5966394,0.19
DARE,20:26:37.400,20:26:37.295,0.54779947,0.23
DARE,20:26:37.400,20:26:37.455,0.54779947,0.28
DARE,20:28:31.800,20:28:32.075,0.821508,0.65
DARE,20:28:31.800,20:28:32.090,0.821508,0.52
DARE,20:33:32.100,20:33:32.480,0.71810955,0.55
DARE,20:33:32.100,20:33:32.510,0.71810955,0.57
DARE,20:36:14.300,20:36:13.720,0.6200719,0.18
DARE,20:38:36.700,20:38:36.985,0.72320867,0.42
DARE,21:01:11.200,21:01:11.355,0.42013282,0.36
DARE,21:15:38.900,21:15:38.325,0.71411,0.29
DARE,21:17:59.800,21:17:59.970,0.63116884,0.44
DARE,21:20:07.900,21:20:08.790,0.6566638,0.52
DARE,21:21:31.500,21:21:30.810,0.63150805,0.24
DARE,21:25:19.300,21:25:20.235,0.7194557,0.37
DARE,21:25:19.300,21:25:20.295,0.7194557,0.26
DARE,21:28:28.800,21:28:28.830,0.6839794,0.37
DARE,21:55:27.100,21:55:26.740,0.65083903,0.31
DARE,21:55:27.100,21:55:26.805,0.65083903,0.66
DARE,22:01:34.800,22:01:34.335,0.7373874,0.53
DARE,22:06:40.300,22:06:40.065,0.60240245,0.16
DARE,22:06:40.300,22:06:40.380,0.60240245,0.1
DARE,22:14:20.400,22:14:21.040,0.69065243,0.42
DARE,22:14:20.400,22:14:21.055,0.69065243,0.43
DARE,22:23:52.900,22:23:53.055,0.70157504,0.36
DARE,22:28:18.300,22:28:18.370,0.85461766,0.65
DARE,22:34:40.800,22:34:40.725,0.71547747,0.4
DARE,22:37:57.400,22:37:57.560,0.7787971,0.49
DARE,22:41:17.700,22:41:17.940,0.75055045,0.49
DARE,22:58:37.400,22:58:37.580,0.7597128,0.56
DARE,22:59:26.100,22:59:26.035,0.858905,0.62
DARE,23:02:13.600,23:02:13.625,0.84761095,0.53
DARE,23:11:07.600,23:11:07.600,0.7118746,0.31
DARE,23:11:07.600,23:11:07.610,0.7118746,0.33
DARE,23:11:57.700,23:11:57.725,0.48605186,0.45
DARE,23:13:48.400,23:13:48.305,0.7508955,0.59
DARE,23:18:30.900,23:18:31.030,0.8587236,0.73
DARE,23:21:22.000,23:21:22.185,0.48909605,0.32
DARE,23:27:29.600,23:27:30.120,0.77918404,0.33
DARE,23:32:29.200,23:32:29.380,0.7688524,0.43
DARE,23:38:45.700,23:38:45.870,0.8094023,0.41
DARE,23:46:01.900,23:46:01.775,0.57793075,0.27
DARE,23:46:01.900,23:46:01.775,0.57793075,0.29
DARE,23:48:52.900,23:48:52.665,0.8065722,0.45
DARE,23:54:41.700,23:54:42.455,0.65046996,0.31
DARE,23:56:22.700,23:56:22.675,0.7540002,0.56
DYBB,02:39:30.500,02:39:30.135,0.7736846,0.49
DYBB,02:39:30.500,02:39:30.215,0.7736846,0.34
DYBB,03:01:57.100,03:01:56.645,0.65405405,0.4
DYBB,03:23:24.600,03:23:24.510,0.6163421,0.31
DYBB,05:04:17.900,05:04:16.990,0.5548539,0.15
DYBB,18:11:11.800,18:11:12.040,0.505975,0.41
DYBB,18:18:32.300,18:18:31.570,0.5580574,0.37
ERZN,02:57:19.300,02:57:20.270,0.7699965,0.41
ERZN,04:19:39.700,04:19:40.095,0.73359466,0.19
ERZN,21:50:14.700,21:50:14.925,0.8123609,0.62
FETY,11:46:38.600,11:46:38.500,0.7807269,0.38
GELI,05:00:24.900,05:00:24.035,0.35586894,0.41
GELI,05:00:24.900,05:00:24.125,0.35586894,0.51
GULT,18:31:16.600,18:31:15.780,0.82707417,0.67
GURO,00:16:28.900,00:16:28.390,0.54668546,0.39
GURO,02:52:55.900,02:52:55.035,0.68861026,0.29
KARO,03:18:48.800,03:18:48.760,0.9351173,0.78
KARO,03:33:42.100,03:33:42.085,0.9364145,0.64
KARO,07:51:10.900,07:51:10.895,0.7344224,0.4
KARO,07:51:10.900,07:51:11.015,0.7344224,0.4
KARO,14:45:43.900,14:45:44.290,0.5745938,0.41
KARO,14:45:43.900,14:45:44.355,0.5745938,0.38
KARO,19:51:30.000,19:51:30.140,0.82232666,0.61
KARS,22:37:35.500,22:37:35.800,0.6591636,0.41
KMRS,01:40:37.500,01:40:37.860,0.710992,0.3
KMRS,01:41:10.500,01:41:10.290,0.6939235,0.51
KMRS,02:01:53.900,02:01:54.320,0.96827376,0.53
KMRS,02:01:53.900,02:01:54.335,0.96827376,0.78
KMRS,02:31:32.500,02:31:32.150,0.96267825,0.7
KMRS,02:36:59.900,02:37:00.175,0.9720927,0.62
KMRS,02:38:15.100,02:38:15.130,0.91552836,0.64
KMRS,02:38:15.100,02:38:15.165,0.91552836,0.73
KMRS,02:50:53.600,02:50:53.455,0.31960195,0.25
KMRS,02:50:53.600,02:50:53.480,0.31960195,0.41
KMRS,02:55:16.000,02:55:15.770,0.9555858,0.64
KMRS,03:06:27.400,03:06:27.050,0.64619416,0.22
KMRS,03:06:27.400,03:06:27.225,0.64619416,0.25
KMRS,03:12:21.900,03:12:22.095,0.89479303,0.61
KMRS,03:14:59.900,03:14:59.885,0.87856334,0.51
KMRS,03:17:29.300,03:17:29.285,0.84815645,0.38
KMRS,03:30:09.500,03:30:09.350,0.8365758,0.57
KMRS,03:32:57.300,03:32:57.255,0.84156245,0.64
KMRS,03:38:27.000,03:38:26.965,0.7831962,0.42
KMRS,03:38:27.000,03:38:27.105,0.7831962,0.41
KMRS,04:15:59.000,04:15:58.740,0.6377746,0.41
KMRS,04:33:50.300,04:33:50.750,0.9567826,0.74
KMRS,05:08:42.600,05:08:42.430,0.8910537,0.54
KMRS,05:21:53.100,05:21:53.125,0.87938833,0.66
KMRS,05:25:26.000,05:25:26.370,0.95595264,0.69
KMRS,05:25:45.400,05:25:45.150,0.5568764,0.73
KMRS,05:28:22.800,05:28:22.460,0.9676472,0.74
KMRS,05:30:07.800,05:30:08.350,0.9015684,0.64
KMRS,05:48:12.200,05:48:12.005,0.9251994,0.43
KMRS,06:04:20.600,06:04:20.875,0.4991434,0.61
KMRS,06:07:16.200,06:07:15.725,0.93619704,0.7
KMRS,06:07:51.700,06:07:52.040,0.550771,0.41
KMRS,06:09:11.900,06:09:12.265,0.92560863,0.72
KMRS,06:13:15.900,06:13:15.760,0.83945906,0.64
KMRS,06:20:45.200,06:20:45.405,0.72781456,0.47
KMRS,06:26:38.400,06:26:37.815,0.82330585,0.63
KMRS,06:29:50.200,06:29:50.435,0.48707804,0.77
KMRS,06:33:29.600,06:33:29.000,0.8905073,0.68
KMRS,06:42:11.400,06:42:11.260,0.9289689,0.7
KMRS,06:47:01.300,06:47:01.005,0.97032094,0.81
KMRS,06:55:13.700,06:55:14.420,0.6480839,0.48
KMRS,06:55:13.700,06:55:14.440,0.6480839,0.5
KMRS,06:59:12.500,06:59:12.975,0.9327673,0.64
KMRS,07:03:16.100,07:03:16.210,0.7687883,0.41
KMRS,07:17:02.200,07:17:02.190,0.9782693,0.83
KMRS,09:12:35.400,09:12:35.550,0.9556619,0.76
KMRS,10:15:05.600,10:15:05.970,0.90038216,0.7
KMRS,10:16:24.300,10:16:24.805,0.9769391,0.79
KMRS,10:36:31.400,10:36:31.610,0.6249221,0.45
KMRS,10:36:31.400,10:36:31.635,0.6249221,0.39
KMRS,11:00:28.900,11:00:28.940,0.81832874,0.63
