station,Phasenet-EQCCT_Average_pick_time,EQTransformer_pick_time,EQTransformer_pick_score,Phasenet_score,EQCCT_score
BODT,16:10:36.700,16:10:36.700,0.52,0.40484354,0.409
BODT,16:10:36.700,16:10:36.705,0.52,0.40484354,0.553
BODT,16:18:41.150,16:18:41.165,0.57,0.83669,0.63
BODT,16:18:41.150,16:18:41.165,0.57,0.83669,0.607
BODT,16:18:41.150,16:18:41.165,0.57,0.83669,0.603
BODT,16:18:41.150,16:18:41.185,0.57,0.83669,0.261
BODT,16:18:41.150,16:18:41.190,0.57,0.83669,0.307
BODT,16:21:45.560,16:21:45.575,0.77,0.8885145,0.715
BODT,16:21:45.560,16:21:45.575,0.77,0.8885145,0.804
BODT,16:21:45.560,16:21:45.575,0.77,0.8885145,0.788
BODT,16:21:45.560,16:21:45.575,0.77,0.8885145,0.772
BODT,16:21:45.560,16:21:45.575,0.77,0.8885145,0.757
CANT,09:30:40.880,09:30:40.910,0.63,0.3816935,0.543
CANT,09:30:40.880,09:30:40.910,0.63,0.3816935,0.532
CANT,09:30:40.880,09:30:40.910,0.63,0.3816935,0.507
CEYT,09:06:30.660,09:06:30.700,0.16,0.5216901,0.132
CEYT,09:06:30.660,09:06:30.745,0.16,0.5216901,0.119
CEYT,09:09:40.600,09:09:40.610,0.42,0.48685837,0.379
CEYT,09:09:40.600,09:09:40.610,0.42,0.48685837,0.401
CEYT,09:09:40.600,09:09:40.620,0.42,0.48685837,0.506
CEYT,09:09:40.650,09:09:40.610,0.41,0.48685837,0.379
CEYT,09:09:40.650,09:09:40.610,0.41,0.48685837,0.401
CEYT,09:09:40.650,09:09:40.620,0.41,0.48685837,0.506
CEYT,09:10:54.850,09:10:54.865,0.39,0.47793642,0.373
CEYT,09:10:54.850,09:10:54.865,0.39,0.47793642,0.294
CEYT,09:10:54.850,09:10:54.865,0.39,0.47793642,0.301
CEYT,09:10:54.850,09:10:54.865,0.39,0.47793642,0.321
CEYT,09:10:54.850,09:10:54.880,0.39,0.47793642,0.328
CEYT,09:12:16.290,09:12:16.885,0.18,0.34773117,0.293
CEYT,09:12:16.290,09:12:16.885,0.18,0.34773117,0.296
CHOM,03:19:42.940,03:19:43.105,0.4,0.35873434,0.387
CHOM,03:19:42.940,03:19:43.105,0.4,0.35873434,0.2
CHOM,03:19:42.940,03:19:43.120,0.4,0.35873434,0.395
